yf_symbol,symbol,name,market_cap,price,ma200,diff,peak,peak_diff,rsi,return_20d,return_60d,price_source,price_basis,price_time,after_market_price,after_market_change_pct,eps_growth,hist_per_avg,foreign_supply,per,pbr,roe,debt_ratio,revenue_growth,operating_growth,eps_cagr,eps3y,revenue,operating_income,net_income,operating_margin,net_margin,operating_cashflow,free_cashflow,cash,total_debt,net_cash,dividend_yield,payout_ratio,dividend_per_share,dividend_total,dividend_source,dividend_growth_3y,dividend_consecutive_years,dividend_cut_flag,sector,industry,analyst_buy_ratio,consensus_revision,target_mean,target_high,target_low,target_upside,earnings_surprise_pct,finnhub_source,cashflow_status,financial_currency,fundamental_refreshed_at,dart_year,dart_fs_div,dart_report_code,dart_source,peg,cagr,peer_per_avg,peer_pbr_avg,peer_roe_avg,peer_group_count,peer_per_gap,peer_pbr_gap,peer_per_count,peer_pbr_count,peer_roe_count,data_date,us_10y_bond,score_per,score_pbr,score_roe,score_peg,score_cagr,score_eps3y,score_rsi,score_peak_diff,score,grade,rank
LLY,LLY,일라이릴리,979.64,1181.8699951171875,998.5020529174805,18.364302974033162,1235.56005859375,-4.345402969538343,63.593303915990624,1.8,30.59,daily_close,일봉 종가,2026-07-14 13:30 KST,,,169.9,66.6,85.32,42.365448,34.130653,107.46,139.015,55.5,74.27,98.92,5.8 -> 11.71 -> 22.95,65179000000.0,29696000000.0,20640000000.0,45.56,31.67,16813000000.0,5964000000.0,7268000000.0,42503000000.0,-35235000000.0,0.59,22.13,6.92,,yfinance,,,,Healthcare,Drug Manufacturers - General,79.49,2.57,,,,,18.88,Finnhub,,,,,,,,0.25,98.92,23.01,3.59,15.2,15,84.12,850.71,14,13,13,2026-07-13,4.25,0,0,20,20,15,10,3,0,68,B,11
WMT,WMT,월마트,932.53,114.77999877929688,117.34869972229004,-2.1889470859686426,134.1999969482422,-14.470937861820632,44.77351213172287,-4.75,-8.0,daily_close,일봉 종가,2026-07-14 13:30 KST,,,19.4,36.02,38.09,39.880283,9.55942,24.13,74.816,7.3,1.63,19.45,1.91 -> 2.41 -> 2.73,713163000000.0,29825000000.0,21893000000.0,4.18,3.07,41565000000.0,14923000000.0,10727000000.0,67095000000.0,-56368000000.0,0.86,33.54,0.99,,yfinance,,,,Consumer Defensive,Discount Stores,89.58,-2.09,,,,,-1.67,Finnhub,,,,,,,,2.06,19.45,24.99,8.11,30.13,9,59.58,17.87,7,6,6,2026-07-13,4.25,0,0,20,0,12,8,5,5,50,C,12
AMD,AMD,AMD,876.24,534.3900146484375,289.53119972229,84.57078724538462,580.9099731445312,-8.008118408481776,47.25110136749322,9.41,107.03,daily_close,일봉 종가,2026-07-14 13:30 KST,531.55,-0.5314497970748806,91.2,135.05,72.09,182.11447,13.67689,8.06,6.005,37.8,77.09,123.61,0.53 -> 1.0 -> 2.65,34639000000.0,3694000000.0,4335000000.0,10.66,12.51,7709000000.0,6735000000.0,5539000000.0,3847000000.0,1692000000.0,,0.0,0.0,,yfinance,,,,Technology,Semiconductors,80.7,4.43,,,,,4.63,Finnhub,,,,,,,,2.0,123.61,30.3,9.57,34.89,19,501.04,42.91,17,18,18,2026-07-13,4.25,0,0,6,5,15,10,5,0,41,C,13
JPM,JPM,JP모건 체이스,871.43,334.5299987792969,309.18925064086915,8.195869709539684,339.2200012207031,-1.3825842888181712,53.650923982655016,6.71,9.35,daily_close,일봉 종가,2026-07-14 13:30 KST,,,17.2,11.99,75.66,15.775385,2.5657625,16.47,,12.7,,11.06,16.23 -> 19.75 -> 20.02,181847000000.0,,57048000000.0,,31.37,-147782000000.0,-147782000000.0,343338000000.0,499982000000.0,-156644000000.0,1.79,28.24,6.0,,yfinance,,,,Financial Services,Banks - Diversified,,,,,,,,,,,,,,,,0.92,11.06,18.83,3.0,15.43,16,-16.22,-14.47,15,15,15,2026-07-13,4.25,8,3,16,16,8,8,5,0,64,B,14
INTC,INTC,Intel Corporation,673.43,103.12000274658203,62.83409996986389,64.11471286457484,140.94000244140625,-26.834113125936216,23.433549073309308,-11.83,58.79,daily_close,일봉 종가,2026-07-14 13:30 KST,,,98.63,65.53,64.05,,6.296163,-2.91,36.028,7.2,6.88,,1.94 -> 0.4,52853000000.0,-23000000.0,-267000000.0,-0.04,-0.51,9697000000.0,-4949000000.0,14265000000.0,46585000000.0,-32320000000.0,,0.0,0.0,,yfinance,,,,Technology,Semiconductors,32.08,-1.25,,,,,1244.7,Finnhub,,,,,,,,,,32.69,9.74,34.89,19,,-35.36,18,18,18,2026-07-13,4.25,0,0,0,0,0,10,1,5,16,D,15
V,V,비자,622.33,357.75,329.20919876098634,8.669502962380756,373.30999755859375,-4.16811702348033,74.42368623812784,12.13,13.24,daily_close,일봉 종가,2026-07-14 13:30 KST,,,35.5,28.25,91.68,29.938046,18.40414,60.35,67.233,17.1,10.39,10.99,8.28 -> 9.73 -> 10.2,40000000000.0,26556000000.0,20058000000.0,66.39,50.14,23059000000.0,21577000000.0,17164000000.0,25171000000.0,-8007000000.0,0.75,21.97,2.68,,yfinance,,,,Financial Services,Credit Services,91.67,0.0,,,,,1.24,Finnhub,,,,,,,,0.84,10.99,18.62,2.86,15.43,16,60.78,543.5,15,15,15,2026-07-13,4.25,0,0,20,16,8,10,1,0,55,B,16
XOM,XOM,엑슨모빌,571.22,144.50999450683594,136.4603998184204,5.898850288528135,171.47000122070312,-15.72287077735908,61.92732061918729,-1.43,-3.02,daily_close,일봉 종가,2026-07-14 13:30 KST,,,-43.4,12.2,68.74,23.05565,2.20271,9.87,18.261,2.6,-14.41,-13.19,8.89 -> 7.84 -> 6.7,323905000000.0,33938000000.0,28844000000.0,10.48,8.91,51970000000.0,23612000000.0,10681000000.0,43537000000.0,-32856000000.0,2.85,68.01,4.12,,yfinance,,,,Energy,Oil & Gas Integrated,51.61,0.0,,,,,5.59,Finnhub,,,,,,,,,-13.19,,,,2,,,1,1,1,2026-07-13,4.25,4,3,6,0,0,0,3,5,21,D,17
ORCL,ORCL,오라클,530.03,131.5399932861328,194.8124494934082,-32.47865132429143,328.3299865722656,-59.936649509416405,12.454696754478931,-28.55,-22.54,daily_close,일봉 종가,2026-07-14 13:30 KST,131.33,-0.15964215968599862,21.9,36.02,43.9,22.523972,10.087422,53.38,388.87,20.6,24.33,25.36,3.71 -> 4.34 -> 5.83,67357000000.0,22444000000.0,17087000000.0,33.32,25.37,31977000000.0,-23686000000.0,31289000000.0,156189000000.0,-124900000000.0,1.52,34.31,2.0,,yfinance,,,,Technology,Software - Infrastructure,81.63,0.0,,,,,9.27,Finnhub,,,2026-07-14,,,,,1.03,25.36,35.07,9.57,33.3,19,-35.77,5.41,17,18,18,2026-07-13,4.25,4,0,20,10,15,8,1,3,61,B,18
AMAT,AMAT,"Applied Materials, Inc.",489.96,575.3900146484375,351.10619972229006,63.879195270133735,723.0,-20.416318859137274,43.73828271568885,4.12,45.94,daily_close,일봉 종가,2026-07-14 13:30 KST,571.3874,-0.6956350556210357,33.5,18.76,85.14,58.803005,20.815569,39.69,30.399,11.4,7.66,3.34,8.11 -> 8.61 -> 8.66,28368000000.0,8470000000.0,6998000000.0,29.86,24.67,7958000000.0,5698000000.0,7241000000.0,7050000000.0,191000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,3.34,27.24,3.97,12.18,13,115.87,424.32,10,9,9,2026-07-13,4.25,0,0,20,5,4,10,5,5,49,C,19
CSCO,CSCO,시스코 시스템즈,471.16,119.25,86.37275001525879,38.0643779188842,130.0,-8.269230769230768,46.410580625571114,-2.12,44.79,daily_close,일봉 종가,2026-07-14 13:30 KST,118.97,-0.2348008385744244,37.1,18.51,82.88,39.003334,9.43553,25.23,67.541,12.0,-3.59,-7.8,3.07 -> 2.54 -> 2.61,56654000000.0,12504000000.0,10180000000.0,22.07,17.97,14193000000.0,13288000000.0,8346000000.0,28093000000.0,-19747000000.0,1.41,55.0,1.68,,yfinance,,,,Technology,Communication Equipment,69.7,-2.18,,,,,-0.11,Finnhub,,,,,,,,1.05,-7.8,30.3,9.74,34.89,19,28.72,-3.13,17,18,18,2026-07-13,4.25,0,0,20,10,0,10,5,0,45,C,20
CAT,CAT,"Caterpillar, Inc.",454.06,931.469970703125,711.344698638916,30.94495151020254,1064.9000244140625,-12.529819762597377,39.39011063641207,3.77,20.94,daily_close,일봉 종가,2026-07-14 13:30 KST,929.7614,-0.1834273521276586,30.2,19.61,72.9,52.901146,26.286688,51.33,230.793,22.2,-14.7,-3.31,20.12 -> 22.05 -> 18.81,67589000000.0,11151000000.0,8884000000.0,16.5,13.14,11739000000.0,7453000000.0,9980000000.0,43330000000.0,-33350000000.0,0.7,29.58,6.52,,yfinance,,,,Industrials,Farm & Heavy Construction Machinery,55.88,2.94,,,,,7.97,Finnhub,,,,,,,,1.75,-3.31,30.17,7.28,32.48,7,75.34,261.08,6,6,6,2026-07-13,4.25,0,0,20,5,0,10,5,5,45,C,21
MA,MA,마스터카드,432.77,537.7000122070312,529.4510488891601,1.5580219049859771,598.9600219726562,-10.227729317203352,75.86106485098173,10.52,3.41,daily_close,일봉 종가,2026-07-14 13:30 KST,,,21.2,35.12,91.48,30.26883,68.95987,232.08,282.059,15.8,19.52,18.17,11.83 -> 13.89 -> 16.52,32791000000.0,19514000000.0,14968000000.0,59.51,45.65,17648000000.0,16433000000.0,10566000000.0,19000000000.0,-8434000000.0,0.65,18.23,3.48,,yfinance,,,,Financial Services,Credit Services,90.2,0.2,,,,,2.2,Finnhub,,,,,,,,1.43,18.17,18.62,2.86,15.43,16,62.56,2311.18,15,15,15,2026-07-13,4.25,0,0,20,10,12,8,1,5,56,B,22
COST,COST,코스트코,421.95,926.4299926757812,956.7253985595703,-3.166572762613107,1094.3199462890625,-15.34194402492719,42.072794016535745,-5.05,-5.92,daily_close,일봉 종가,2026-07-14 13:30 KST,,,45.5,45.01,73.76,46.512577,24.80471,29.15,60.257,21.5,11.83,13.4,14.16 -> 16.56 -> 18.21,275235000000.0,10383000000.0,8099000000.0,3.77,2.94,13335000000.0,7837000000.0,14161000000.0,8173000000.0,5988000000.0,0.63,27.01,5.88,,yfinance,,,,Consumer Defensive,Discount Stores,68.18,0.0,,,,,-0.24,Finnhub,,,,,,,,1.02,13.4,24.99,8.11,27.62,9,86.12,205.85,7,6,6,2026-07-13,4.25,0,0,20,10,8,10,5,5,58,B,23
BAC,BAC,뱅크오브아메리카,398.83,59.5,52.80750003814697,12.673389115217567,59.900001525878906,-0.6677821630874109,62.60355537438607,7.87,9.54,daily_close,일봉 종가,2026-07-14 13:30 KST,,,24.4,11.85,70.64,14.362283,1.4969997,10.64,,8.1,,11.22,3.08 -> 3.21 -> 3.81,113097000000.0,,30509000000.0,,26.98,12613000000.0,12613000000.0,239319000000.0,365904000000.0,-126585000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,11.22,33.99,7.53,24.41,13,-57.75,-80.12,10,9,9,2026-07-13,4.25,8,6,12,20,8,8,3,0,65,B,24
GE,GE,GE Aerospace,373.67,353.4200134277344,311.3374005126953,13.516722644224394,378.67999267578125,-6.670534418667848,48.58381894121474,6.21,12.58,daily_close,일봉 종가,2026-07-14 13:30 KST,,,-1.8,276.01,80.99,46.539227,21.592997,45.43,116.527,24.7,28.38,-1.32,8.36 -> 5.99 -> 8.14,45855000000.0,8680000000.0,8704000000.0,18.93,18.98,8537000000.0,7264000000.0,12392000000.0,20495000000.0,-8103000000.0,0.53,19.25,1.88,,yfinance,,,,Industrials,Aerospace & Defense,,,,,,,,,,,,,,,,,-1.32,30.17,7.28,32.48,7,54.26,196.61,6,6,6,2026-07-13,4.25,0,0,20,0,0,0,5,0,25,D,25
UNH,UNH,유나이티드헬스,364.13,429.0899963378906,339.88049911499024,26.247312645236093,625.25,-31.37305136539134,62.41825654272796,5.8,36.63,daily_close,일봉 종가,2026-07-14 13:30 KST,428.6,-0.11419430470822499,0.7,25.21,85.93,32.26923,3.969369,12.18,73.982,2.0,-41.26,-25.54,23.86 -> 15.51 -> 13.23,447567000000.0,18964000000.0,12056000000.0,4.24,2.69,19697000000.0,16075000000.0,24365000000.0,78389000000.0,-54024000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,46.1,-25.54,28.97,7.53,24.41,13,11.39,-47.29,10,9,9,2026-07-13,4.25,0,0,12,0,0,2,3,5,22,D,26
MS,MS,Morgan Stanley,352.0,221.08999633789062,180.3215993499756,22.60871528140677,227.08999633789062,-2.642124310518949,43.00699199804123,3.96,15.38,daily_close,일봉 종가,2026-07-14 13:30 KST,221.65,0.253292175758839,31.9,15.4,62.71,19.190218,3.201366,16.39,502.246,16.3,,40.39,5.18 -> 7.95 -> 10.21,65966000000.0,,16861000000.0,,25.56,-17889000000.0,-20787000000.0,81310000000.0,370538000000.0,-289228000000.0,1.81,35.55,4.0,,yfinance,,,,Financial Services,Capital Markets,56.25,1.7,,,,,13.19,Finnhub,,,,,,,,0.6,40.39,18.62,2.86,15.43,16,3.06,11.94,15,15,15,2026-07-13,4.25,4,0,16,20,15,10,5,0,70,A,27
PG,PG,프록터앤갬블,350.17,148.3699951171875,148.32205047607422,0.03232468871579516,179.6999969482422,-17.434614559330495,51.20925772273143,0.02,3.48,daily_close,일봉 종가,2026-07-14 13:30 KST,,,5.8,23.88,71.92,21.469986,6.3532777,31.11,67.651,7.4,2.84,5.04,5.9 -> 6.02 -> 6.51,84284000000.0,20451000000.0,15974000000.0,24.26,18.95,17817000000.0,14044000000.0,9556000000.0,35463000000.0,-25907000000.0,2.87,61.8,4.26,,yfinance,,,,Consumer Defensive,Household & Personal Products,61.11,-1.75,,,,,0.19,Finnhub,,,,,,,,3.7,5.04,25.56,9.3,26.64,9,-16.0,-31.69,7,6,6,2026-07-13,4.25,4,0,20,0,4,5,5,5,43,C,28
CVX,CVX,쉐브론,345.8,182.1999969482422,172.93800010681153,5.355674771137737,211.14999389648438,-13.710631202970735,60.10187209330763,-1.95,-1.47,daily_close,일봉 종가,2026-07-14 13:30 KST,183.0,0.43907961863746375,-44.5,14.21,70.53,28.87805,1.784169,6.64,23.989,2.3,-11.86,-23.6,11.36 -> 9.72 -> 6.63,184432000000.0,16674000000.0,12299000000.0,9.04,6.67,33939000000.0,16592000000.0,6293000000.0,40758000000.0,-34465000000.0,3.91,120.38,7.12,,yfinance,,,,Energy,Oil & Gas Integrated,74.19,0.0,,,,,15.54,Finnhub,,,,,,,,,-23.6,,,,2,,,1,1,1,2026-07-13,4.25,0,6,6,0,0,0,3,5,20,D,29
KO,KO,코카콜라,341.57,84.25,74.8319501876831,12.585599852330255,84.25,0.0,68.09813107968571,2.08,11.87,daily_close,일봉 종가,2026-07-14 13:30 KST,84.32,0.08308605341245481,18.2,23.92,68.23,25.562893,10.400461,43.37,124.943,12.1,6.34,10.94,2.47 -> 2.46 -> 3.04,47941000000.0,14911000000.0,13107000000.0,31.1,27.34,7408000000.0,5296000000.0,10270000000.0,45492000000.0,-35222000000.0,2.52,64.78,2.12,,yfinance,,,,Consumer Defensive,Beverages - Non-Alcoholic,82.35,-0.51,,,,,1.67,Finnhub,,,,,,,,1.4,10.94,24.99,8.11,26.64,9,2.29,28.24,7,6,6,2026-07-13,4.25,0,0,20,10,8,8,1,0,47,C,30
HD,HD,홈디포,333.32,337.1099853515625,353.1998989868164,-4.5554694894899885,431.3699951171875,-21.85131345076933,57.06206818396792,3.4,-0.53,daily_close,일봉 종가,2026-07-14 13:30 KST,,,-4.3,23.05,76.11,25.066097,25.343489,128.38,459.356,4.8,-2.95,-2.96,15.11 -> 14.91 -> 14.23,164683000000.0,20890000000.0,14156000000.0,12.68,8.6,16325000000.0,12646000000.0,1389000000.0,65350000000.0,-63961000000.0,2.76,65.55,9.32,,yfinance,,,,Consumer Cyclical,Home Improvement Retail,63.04,0.0,,,,,-1.8,Finnhub,,,,,,,,,-2.96,26.29,10.96,20.16,7,-4.66,131.24,6,4,4,2026-07-13,4.25,0,0,20,0,0,0,3,5,28,D,31
NFLX,NFLX,넷플릭스,325.83,73.83000183105469,94.7002299118042,-22.038202124943393,133.91299438476562,-44.86718621277143,52.55240440953995,-9.15,-31.45,daily_close,일봉 종가,2026-07-14 13:30 KST,74.11,0.37924713802125076,86.4,37.65,85.06,23.93226,10.040602,48.49,53.788,16.2,27.92,45.02,1.2 -> 1.98 -> 2.53,45183036000.0,13326603000.0,10981201000.0,29.49,24.3,10149273000.0,9461053000.0,9033681000.0,14462836000.0,-5429155000.0,,0.0,0.0,,yfinance,,,,Communication Services,Entertainment,77.59,-0.38,,,,,-7.11,Finnhub,,,,,,,,0.28,45.02,22.27,6.38,32.93,6,7.46,57.38,5,5,5,2026-07-13,4.25,4,0,20,20,15,10,5,5,79,A,32
GS,GS,"Goldman Sachs Group, Inc. (The)",323.49,1045.9100341796875,897.0122021484375,16.59930953833451,1106.3699951171875,-5.46471444492636,35.04651001058549,0.99,16.28,daily_close,일봉 종가,2026-07-14 13:30 KST,,,24.2,14.31,74.65,18.620369,2.8635786,14.55,678.596,14.5,38.6,49.8,22.87 -> 40.54 -> 51.32,58283000000.0,,17176000000.0,,29.47,-45154000000.0,-47218000000.0,164259000000.0,386150000000.0,-221891000000.0,1.72,28.31,18.0,,yfinance,,,,Financial Services,Capital Markets,,,,,,,,,,,,,,,,0.77,49.8,18.83,3.0,15.92,16,-1.11,-4.55,15,15,15,2026-07-13,4.25,4,3,12,16,15,8,5,0,63,B,33
TXN,TXN,Texas Instruments Incorporated,293.83,298.57000732421875,219.18665069580078,36.21724059217025,332.2799987792969,-10.145055850162255,37.44320443329319,0.49,38.04,daily_close,일봉 종가,2026-07-14 13:30 KST,298.5,-0.02344754077817625,31.3,26.03,92.64,48.790596,15.481097,32.35,83.741,18.6,14.96,-12.2,7.07 -> 5.2 -> 5.45,17682000000.0,6140000000.0,5001000000.0,34.72,28.28,7153000000.0,2603000000.0,3225000000.0,14048000000.0,-10823000000.0,,,,,,,,,,,,,,,,,,,,,2026-07-14,,,,,1.56,-12.2,27.24,3.97,12.18,13,79.11,289.95,10,9,9,2026-07-13,4.25,0,0,20,5,0,10,5,5,45,C,34
PM,PM,Philip Morris International Inc,278.05,180.19000244140625,167.73834999084474,7.423259171943165,191.86000061035156,-6.082559226425683,60.48388821717901,-0.32,14.63,daily_close,일봉 종가,2026-07-14 13:30 KST,,,-9.3,19.77,84.09,24.991562,-29.843803,,,9.1,11.42,20.26,5.02 -> 4.53 -> 7.26,40648000000.0,14933000000.0,11348000000.0,36.74,27.92,12233000000.0,10664000000.0,4872000000.0,48835000000.0,-43963000000.0,3.26,81.09,5.88,,yfinance,,,,Consumer Defensive,Tobacco,73.08,2.71,,,,,1.09,Finnhub,,,,,,,,,20.26,25.56,9.03,29.15,9,-2.22,,7,7,7,2026-07-13,4.25,4,0,0,0,12,0,3,0,19,D,35
